field.tree.health.condition,latitude,longitude
Good,47.30330638,-122.5241818241
Good,47.303360863100004,-122.5240886404
Good,47.3041174395,-122.5247836157
Good,47.3030499783,-122.5240480515
Good,47.3030352543,-122.5240807155
Good,47.3043502482,-122.5242911826
Good,47.3042984025,-122.5243951548
Good,47.304314735,-122.5245461638
Good,47.3050388831,-122.5241940788
Good,47.3053207831,-122.5236763188
Good,47.3052412831,-122.5230455671
Good,47.3042706871,-122.5246790283
Good,47.3042724894,-122.5247672056
Good,47.3053298411,-122.5232686518
Good,47.3059047845,-122.5234966322
Good,47.3055681863,-122.5240803445
Good,47.3062045264,-122.5238232052
Good,47.3074044831,-122.5237198396
Good,47.3060504839,-122.5238254574
Good,47.3087290732,-122.5225554237
Good,47.3043056414,-122.5240490311
Good,47.304061097,-122.5241816295
Good,47.3035851676,-122.5254241854
Good,47.3037594431,-122.525760313
Good,47.3040059031,-122.5267278605
Good,47.3041642169,-122.5279228442
Good,47.3040266231,-122.5286033905
Good,47.3041370046,-122.5274892739
Good,47.3037772979,-122.528632092
Good,47.3039299022,-122.5286072432
Good,47.3039604028,-122.5287067779
Good,47.3037986643,-122.5289356522
Good,47.3038466301,-122.5288714062
Good,47.3047591231,-122.5301413026
Good,47.3048299331,-122.5303058937
Good,47.3037474031,-122.5289946255
Good,47.3044552431,-122.5304130853
Good,47.304443381,-122.5303775075
Good,47.3048017656,-122.5303316649
Good,47.304311126100004,-122.5325540117
Good,47.3037392915,-122.532829404
Good,47.3055819662,-122.5303995783
Good,47.3055213495,-122.5304963346
Good,47.3057084544,-122.5305482422
Good,47.3060040731,-122.5314769453
Good,47.3050424019,-122.5303001338
Good,47.3050722831,-122.5302247648
Good,47.3053115431,-122.5302775084
Good,47.3052966531,-122.5301883261
Good,47.3055020431,-122.5304489134
Good,47.3044878816,-122.5316703072
Good,47.3049334913,-122.5303504454
Good,47.3059603631,-122.5307387899
Good,47.3062039531,-122.5320723615
Good,47.3061199335,-122.5321522362
Good,47.3061647026,-122.5320390155
Good,47.3047599731,-122.5330675311
Good,47.3047222753,-122.5324219027
Good,47.3050522514,-122.533190248
Good,47.3063698298,-122.5315982531
Good,47.3078212693,-122.5288741722
Good,47.3079096046,-122.5288278946
Good,47.3085014784,-122.5289629876
Good,47.308800990500004,-122.5303628494
Good,47.3080089631,-122.5306483249
Good,47.3077038831,-122.5310910879
Good,47.3063140112,-122.5183311006
Good,47.306403491,-122.51855967
Good,47.3067196782,-122.5191712758
Good,47.3067245092,-122.5190509257
Good,47.3071524594,-122.5198312384
Good,47.3072106718,-122.5197359362
Good,47.3085143564,-122.5224677816
Good,47.3072159631,-122.5198022755
Good,47.3086342231,-122.5229984071
Good,47.3078168929,-122.5222303068
Good,47.3167772831,-122.5402153584
Good,47.3105357727,-122.5286086836
Good,47.3080556546,-122.532009405
Good,47.3080732123,-122.5322979686
Good,47.3083440711,-122.5323185288
Good,47.3082929191,-122.5320132149
Good,47.3084362291,-122.5321976976
Good,47.308530414,-122.5319147336
Good,47.3087205918,-122.5326008659
Good,47.3087456794,-122.5324871739
Good,47.3097147631,-122.5329008052
Good,47.3094108344,-122.5328731772
Good,47.3096260768,-122.5329331934
Good,47.3098935121,-122.5331130342
Good,47.3096564979,-122.5329021627
Good,47.3093312452,-122.5328389361
Good,47.3107084897,-122.5331373535
Good,47.3131663354,-122.5295547151
Good,47.3122617023,-122.5285881335
Good,47.3122486985,-122.5287559536
Good,47.3121116667,-122.5286116667
Good,47.3121116667,-122.5286116667
Good,47.3123133333,-122.5273883333
Good,47.3061501628,-122.5185346226
Good,47.3042792817,-122.5333229679
Good,47.3040071603,-122.5329944083
Good,47.3044573507,-122.5243608659
Good,47.3083946217,-122.5234229676
Good,47.3039071207,-122.5240627811
Good,47.3090034503,-122.5227666626
Good,47.3073493547,-122.5314137314
Good,47.3060750943,-122.5313927832
Good,47.3061692831,-122.5314508721
Good,47.306216211,-122.5305986766
Good,47.3086329398,-122.5309643035
Good,47.3108485502,-122.5332412452
Good,47.3110016801,-122.5332698641
Good,47.3111943937,-122.5336383187
Good,47.3111629268,-122.5330965005
Good,47.3108719196,-122.533254138
Good,47.311124246,-122.5329846917
Good,47.3116811037,-122.5325940988
Good,47.3119679069,-122.5326177046
Good,47.31219844,-122.5326461731
Good,47.3128748481,-122.532627876
Good,47.3114057576,-122.5327962344
Good,47.3112755973,-122.5327826145
Good,47.312265895,-122.5323901145
Good,47.3121467893,-122.5329268733
Good,47.3126692486,-122.5327864802
Good,47.3130654219,-122.532531798
Good,47.3139870372,-122.5327388245
Good,47.3143218454,-122.5325959771
Good,47.3148458431,-122.5330913155
Good,47.3154872311,-122.5336122476
Good,47.3153115593,-122.5335493205
Good,47.3154195488,-122.533704453
